time_h,paper_sigma_real_s_m,paper_sigma_imag_s_m,paper_cec_meq_g,series,our_sigma_real_s_m,our_sigma_imag_s_m,frame
3.710598706,0.089879257,0.002763367,0.055241619,paper_si_s02,,,
3.752669903,0.094117238,0.003343982,0.071879745,paper_si_s02,,,
3.7947411,0.101431318,0.004649145,0.107259946,paper_si_s02,,,
3.836812298,0.101064403,0.004633202,0.116473792,paper_si_s02,,,
3.878883495,0.101811161,0.004723115,0.133757958,paper_si_s02,,,
3.920954693,0.095420006,0.003662534,0.118042253,paper_si_s02,,,
3.96302589,0.091104212,0.002986253,0.109557361,paper_si_s02,,,
4.005097087,0.081251758,0.001343681,0.058361267,paper_si_s02,,,
4.047168285,0.080649506,0.001324327,0.065540259,paper_si_s02,,,
4.089239482,0.079275933,0.001268849,0.072149216,paper_si_s02,,,
4.13131068,0.080993714,0.001794157,0.117548222,paper_si_s02,,,
4.173381877,0.090442443,0.003446128,0.276850678,paper_si_s02,,,
4.215453074,0.081054872,0.002229379,0.238247185,paper_si_s02,,,
4.257524272,0.358157756,0.0,0.192817086,paper_si_s02,,,
4.299595469,0.355381319,0.0,0.0,paper_si_s02,,,
4.341666667,0.353023425,0.0,0.0,paper_si_s02,,,
0.0002777777777777,,,,ac2d_all,0.1791367114796268,0.0281708693640401,1.0
0.0005555555555555,,,,ac2d_all,0.18331302360415,0.0280061700714924,2.0
0.0011111111111111,,,,ac2d_all,0.191665931404133,0.0276768187442016,3.0
0.0022222222222222,,,,ac2d_all,0.208372881078121,0.0270183051021986,4.0
0.0044444444444444,,,,ac2d_all,0.2110737803606233,0.0257020337207461,5.0
0.0088888888888888,,,,ac2d_all,0.1974744772335676,0.0233214868569104,6.0
0.0177777777777777,,,,ac2d_all,0.191074314945847,0.0220560652250319,7.0
0.0355555555555555,,,,ac2d_all,0.180059923815436,0.0195618769537359,8.0
0.0711111111111111,,,,ac2d_all,0.193312040455366,0.0159338499561277,9.0
0.1422222222222222,,,,ac2d_all,0.2133802818753226,0.0146663628664993,10.0
0.2844444444444444,,,,ac2d_all,0.2825253769290186,0.0243082784411353,11.0
0.5344444444444445,,,,ac2d_all,0.3123080009676015,0.032299586081038,12.0
0.7844444444444445,,,,ac2d_all,0.2883656852427147,0.0356426605840937,13.0
1.0344444444444445,,,,ac2d_all,0.2762002352388597,0.0370162901499956,14.0
1.2844444444444445,,,,ac2d_all,0.2653963949633654,0.0375606614483085,15.0
1.5344444444444445,,,,ac2d_all,0.2283520842304967,0.0322863386215936,16.0
1.7844444444444445,,,,ac2d_all,0.2006097987392151,0.0279118877458093,17.0
2.0344444444444445,,,,ac2d_all,0.1438932848622739,0.0186884636587435,18.0
2.2844444444444445,,,,ac2d_all,0.1236131620652697,0.0158058608170754,19.0
2.5344444444444445,,,,ac2d_all,0.0908193370899812,0.0087672733160202,20.0
2.7844444444444445,,,,ac2d_all,0.0990224657620136,0.0088707033110545,21.0
3.0344444444444445,,,,ac2d_all,0.0705697912468899,0.0037877113808125,22.0
3.2844444444444445,,,,ac2d_all,0.0753965128259298,0.0036828580479317,23.0
3.5344444444444445,,,,ac2d_all,0.0700025567817635,0.0022049513763573,24.0
3.784444444444445,,,,ac2d_all,0.098270070158605,0.0043566777411357,25.0
4.0344444444444445,,,,ac2d_all,0.0796131145717671,0.0013417870497242,26.0
4.2844444444444445,,,,ac2d_all,0.3480865192324436,1.1121237993752873e-08,27.0
4.5344444444444445,,,,ac2d_all,0.3530234244212448,1.1121237993714118e-08,28.0
