frame,frequency_hz,mechanism,water_sigma_real_s_m,water_sigma_imag_s_m,solid_sigma_real_s_m,solid_sigma_imag_s_m,driver_mode,saturation_factor,interface_saturation_factor,interface_delta_real_s_m,interface_delta_imag_s_m,paper_phi,paper_sw,paper_sigma_w_s_m,paper_cec_meq_g,paper_qv_c_m3
1,1.0,maxwell,0.019808629190565665,4.448495197483147e-09,1e-08,4.726526147325844e-10,paper,1.0,1.0,0.33114185491090126,0.05519030915181687,0.7100250470337295,1.0,0.019808629190565665,0.01552033849640014,1657366.641195702
1,2.5,maxwell,0.019808629190565665,1.112123799370787e-08,1e-08,1.1816315368314611e-09,paper,1.0,1.0,0.33114185491090126,0.05519030915181687,0.7100250470337295,1.0,0.019808629190565665,0.01552033849640014,1657366.641195702
1,10.0,maxwell,0.019808629190565665,4.448495197483148e-08,1e-08,4.7265261473258444e-09,paper,1.0,1.0,0.33114185491090126,0.05519030915181687,0.7100250470337295,1.0,0.019808629190565665,0.01552033849640014,1657366.641195702
1,100.0,maxwell,0.019808629190565665,4.4484951974831477e-07,1e-08,4.7265261473258444e-08,paper,1.0,1.0,0.33114185491090126,0.05519030915181687,0.7100250470337295,1.0,0.019808629190565665,0.01552033849640014,1657366.641195702
1,1000.0,maxwell,0.019808629190565665,4.448495197483147e-06,1e-08,4.726526147325844e-07,paper,1.0,1.0,0.33114185491090126,0.05519030915181687,0.7100250470337295,1.0,0.019808629190565665,0.01552033849640014,1657366.641195702
1,10000.0,maxwell,0.019808629190565665,4.448495197483148e-05,1e-08,4.726526147325844e-06,paper,1.0,1.0,0.33114185491090126,0.05519030915181687,0.7100250470337295,1.0,0.019808629190565665,0.01552033849640014,1657366.641195702
1,1.0,grain,0.019809770643261677,1.2324437141129773e-09,1e-08,0.0,paper,1.0,1.0,0.33114185491090126,0.05519030915181687,0.7100250470337295,1.0,0.019808629190565665,0.01552033849640014,1657366.641195702
1,2.5,grain,0.019809770644379457,4.929779683978142e-10,1e-08,0.0,paper,1.0,1.0,0.33114185491090126,0.05519030915181687,0.7100250470337295,1.0,0.019808629190565665,0.01552033849640014,1657366.641195702
1,10.0,grain,0.019809770644579058,1.232445136509348e-10,1e-08,0.0,paper,1.0,1.0,0.33114185491090126,0.05519030915181687,0.7100250470337295,1.0,0.019808629190565665,0.01552033849640014,1657366.641195702
1,100.0,grain,0.019809770644592235,1.2324451507333281e-11,1e-08,0.0,paper,1.0,1.0,0.33114185491090126,0.05519030915181687,0.7100250470337295,1.0,0.019808629190565665,0.01552033849640014,1657366.641195702
1,1000.0,grain,0.019809770644592366,1.2324451508755681e-12,1e-08,0.0,paper,1.0,1.0,0.33114185491090126,0.05519030915181687,0.7100250470337295,1.0,0.019808629190565665,0.01552033849640014,1657366.641195702
1,10000.0,grain,0.019809770644592366,1.2324451508769903e-13,1e-08,0.0,paper,1.0,1.0,0.33114185491090126,0.05519030915181687,0.7100250470337295,1.0,0.019808629190565665,0.01552033849640014,1657366.641195702
1,1.0,interface,0.3509504841014669,0.05519030915181687,1e-08,0.0,paper,1.0,1.0,0.33114185491090126,0.05519030915181687,0.7100250470337295,1.0,0.019808629190565665,0.01552033849640014,1657366.641195702
1,2.5,interface,0.3509504841014669,0.05519030915181687,1e-08,0.0,paper,1.0,1.0,0.33114185491090126,0.05519030915181687,0.7100250470337295,1.0,0.019808629190565665,0.01552033849640014,1657366.641195702
1,10.0,interface,0.3509504841014669,0.05519030915181687,1e-08,0.0,paper,1.0,1.0,0.33114185491090126,0.05519030915181687,0.7100250470337295,1.0,0.019808629190565665,0.01552033849640014,1657366.641195702
1,100.0,interface,0.3509504841014669,0.05519030915181687,1e-08,0.0,paper,1.0,1.0,0.33114185491090126,0.05519030915181687,0.7100250470337295,1.0,0.019808629190565665,0.01552033849640014,1657366.641195702
1,1000.0,interface,0.3509504841014669,0.05519030915181687,1e-08,0.0,paper,1.0,1.0,0.33114185491090126,0.05519030915181687,0.7100250470337295,1.0,0.019808629190565665,0.01552033849640014,1657366.641195702
1,10000.0,interface,0.3509504841014669,0.05519030915181687,1e-08,0.0,paper,1.0,1.0,0.33114185491090126,0.05519030915181687,0.7100250470337295,1.0,0.019808629190565665,0.01552033849640014,1657366.641195702
1,1.0,all,0.3509516255541629,0.055190314832755785,1e-08,4.726526147325844e-10,paper,1.0,1.0,0.33114185491090126,0.05519030915181687,0.7100250470337295,1.0,0.019808629190565665,0.01552033849640014,1657366.641195702
1,2.5,all,0.3509516255552807,0.055190320766032835,1e-08,1.1816315368314611e-09,paper,1.0,1.0,0.33114185491090126,0.05519030915181687,0.7100250470337295,1.0,0.019808629190565665,0.01552033849640014,1657366.641195702
1,10.0,all,0.3509516255554803,0.05519035376001336,1e-08,4.7265261473258444e-09,paper,1.0,1.0,0.33114185491090126,0.05519030915181687,0.7100250470337295,1.0,0.019808629190565665,0.01552033849640014,1657366.641195702
1,100.0,all,0.3509516255554935,0.055190754013661074,1e-08,4.7265261473258444e-08,paper,1.0,1.0,0.33114185491090126,0.05519030915181687,0.7100250470337295,1.0,0.019808629190565665,0.01552033849640014,1657366.641195702
1,1000.0,all,0.35095162555549364,0.0551947576482468,1e-08,4.726526147325844e-07,paper,1.0,1.0,0.33114185491090126,0.05519030915181687,0.7100250470337295,1.0,0.019808629190565665,0.01552033849640014,1657366.641195702
