frame,time_s,time_h,mechanism,frequency_hz,sigma_real_s_m,sigma_imag_s_m,residual_norm,solve_height_px,solve_width_px,downsample,water_sigma_real_s_m,water_sigma_imag_s_m,solid_sigma_real_s_m,solid_sigma_imag_s_m,driver_mode,saturation_factor,interface_saturation_factor,interface_delta_real_s_m,interface_delta_imag_s_m,paper_phi,paper_sw,paper_sigma_w_s_m,paper_cec_meq_g,paper_qv_c_m3
1,1.0,0.0002777777777777778,maxwell,1.0,0.01011095706174703,2.859376355151375e-09,2.2456949435468574e-15,53,144,8,0.019808629190565665,4.448495197483147e-09,1e-08,4.726526147325844e-10,paper,1.0,1.0,0.33114185491090126,0.05519030915181687,0.7100250470337295,1.0,0.019808629190565665,0.01552033849640014,1657366.641195702
1,1.0,0.0002777777777777778,maxwell,2.5,0.01011095706179791,7.148440887914895e-09,2.4785807230657655e-15,53,144,8,0.019808629190565665,1.112123799370787e-08,1e-08,1.1816315368314611e-09,paper,1.0,1.0,0.33114185491090126,0.05519030915181687,0.7100250470337295,1.0,0.019808629190565665,0.01552033849640014,1657366.641195702
1,1.0,0.0002777777777777778,maxwell,10.0,0.010110957061744837,2.8593763551683876e-08,2.319022393753243e-15,53,144,8,0.019808629190565665,4.448495197483148e-08,1e-08,4.7265261473258444e-09,paper,1.0,1.0,0.33114185491090126,0.05519030915181687,0.7100250470337295,1.0,0.019808629190565665,0.01552033849640014,1657366.641195702
1,1.0,0.0002777777777777778,maxwell,100.0,0.010110957061991343,2.8593763550957844e-07,2.3497539822490796e-15,53,144,8,0.019808629190565665,4.4484951974831477e-07,1e-08,4.7265261473258444e-08,paper,1.0,1.0,0.33114185491090126,0.05519030915181687,0.7100250470337295,1.0,0.019808629190565665,0.01552033849640014,1657366.641195702
1,1.0,0.0002777777777777778,maxwell,1000.0,0.010110957086175697,2.8593763483856175e-06,2.3933466333302283e-15,53,144,8,0.019808629190565665,4.448495197483147e-06,1e-08,4.726526147325844e-07,paper,1.0,1.0,0.33114185491090126,0.05519030915181687,0.7100250470337295,1.0,0.019808629190565665,0.01552033849640014,1657366.641195702
1,1.0,0.0002777777777777778,maxwell,10000.0,0.010110959506041895,2.859375678809034e-05,2.3631238593020468e-15,53,144,8,0.019808629190565665,4.448495197483148e-05,1e-08,4.726526147325844e-06,paper,1.0,1.0,0.33114185491090126,0.05519030915181687,0.7100250470337295,1.0,0.019808629190565665,0.01552033849640014,1657366.641195702
1,1.0,0.0002777777777777778,grain,1.0,0.010111539694874466,6.290778631583105e-10,2.5052543931866042e-15,53,144,8,0.019809770643261677,1.2324437141129773e-09,1e-08,0.0,paper,1.0,1.0,0.33114185491090126,0.05519030915181687,0.7100250470337295,1.0,0.019808629190565665,0.01552033849640014,1657366.641195702
1,1.0,0.0002777777777777778,grain,2.5,0.010111539695546684,2.516313916769495e-10,2.188055568654335e-15,53,144,8,0.019809770644379457,4.929779683978142e-10,1e-08,0.0,paper,1.0,1.0,0.33114185491090126,0.05519030915181687,0.7100250470337295,1.0,0.019808629190565665,0.01552033849640014,1657366.641195702
1,1.0,0.0002777777777777778,grain,10.0,0.010111539695598219,6.290785891992252e-11,2.089152267772857e-15,53,144,8,0.019809770644579058,1.232445136509348e-10,1e-08,0.0,paper,1.0,1.0,0.33114185491090126,0.05519030915181687,0.7100250470337295,1.0,0.019808629190565665,0.01552033849640014,1657366.641195702
1,1.0,0.0002777777777777778,grain,100.0,0.010111539695637606,6.2907859645891054e-12,2.059295446177852e-15,53,144,8,0.019809770644592235,1.2324451507333281e-11,1e-08,0.0,paper,1.0,1.0,0.33114185491090126,0.05519030915181687,0.7100250470337295,1.0,0.019808629190565665,0.01552033849640014,1657366.641195702
1,1.0,0.0002777777777777778,grain,1000.0,0.010111539695636251,6.290785965315716e-13,1.9584520785278192e-15,53,144,8,0.019809770644592366,1.2324451508755681e-12,1e-08,0.0,paper,1.0,1.0,0.33114185491090126,0.05519030915181687,0.7100250470337295,1.0,0.019808629190565665,0.01552033849640014,1657366.641195702
1,1.0,0.0002777777777777778,grain,10000.0,0.010111539695636251,6.290785965323095e-14,1.9584520785278192e-15,53,144,8,0.019809770644592366,1.2324451508769903e-13,1e-08,0.0,paper,1.0,1.0,0.33114185491090126,0.05519030915181687,0.7100250470337295,1.0,0.019808629190565665,0.01552033849640014,1657366.641195702
1,1.0,0.0002777777777777778,interface,1.0,0.1791361288447547,0.02817086196390334,2.223595054538842e-15,53,144,8,0.3509504841014669,0.05519030915181687,1e-08,0.0,paper,1.0,1.0,0.33114185491090126,0.05519030915181687,0.7100250470337295,1.0,0.019808629190565665,0.01552033849640014,1657366.641195702
1,1.0,0.0002777777777777778,interface,2.5,0.1791361288447547,0.02817086196390334,2.223595054538842e-15,53,144,8,0.3509504841014669,0.05519030915181687,1e-08,0.0,paper,1.0,1.0,0.33114185491090126,0.05519030915181687,0.7100250470337295,1.0,0.019808629190565665,0.01552033849640014,1657366.641195702
1,1.0,0.0002777777777777778,interface,10.0,0.1791361288447547,0.02817086196390334,2.223595054538842e-15,53,144,8,0.3509504841014669,0.05519030915181687,1e-08,0.0,paper,1.0,1.0,0.33114185491090126,0.05519030915181687,0.7100250470337295,1.0,0.019808629190565665,0.01552033849640014,1657366.641195702
1,1.0,0.0002777777777777778,interface,100.0,0.1791361288447547,0.02817086196390334,2.223595054538842e-15,53,144,8,0.3509504841014669,0.05519030915181687,1e-08,0.0,paper,1.0,1.0,0.33114185491090126,0.05519030915181687,0.7100250470337295,1.0,0.019808629190565665,0.01552033849640014,1657366.641195702
