frequency_hz,omega_rad_s,component,component_mode,delta_sigma_component_real_s_m,delta_sigma_component_imag_s_m,apparent_water_sigma_real_s_m,apparent_water_sigma_imag_s_m,solid_sigma_real_s_m,solid_sigma_imag_s_m
0.001,0.0062831853071795,pore,paper,3.96997441516554e-09,1.6395077914670285e-06,0.04300000396997441,1.6395077914670285e-06,0.0,0.0
0.0013335214321633,0.0083787622693776,pore,paper,7.059672072836958e-09,2.1863068715345284e-06,0.04300000705967207,2.1863068715345284e-06,0.0,0.0
0.0017782794100389,0.0111732590612165,pore,paper,1.2553906041696066e-08,2.9154588362229387e-06,0.043000012553906036,2.9154588362229387e-06,0.0,0.0
0.0023713737056616,0.0148997804252453,pore,paper,2.2323835791841083e-08,3.8877598917167285e-06,0.04300002232383579,3.8877598917167285e-06,0.0,0.0
0.0031622776601683,0.0198691765315922,pore,paper,3.96963833110316e-08,5.1842523855384165e-06,0.04300003969638331,5.1842523855384165e-06,0.0,0.0
0.0042169650342858,0.0264959727443147,pore,paper,7.058609406695662e-08,6.912935255946814e-06,0.043000070586094064,6.912935255946814e-06,0.0,0.0
0.0056234132519034,0.0353329475205589,pore,paper,1.2550546298848466e-07,9.217654938570188e-06,0.043000125505462984,9.217654938570188e-06,0.0,0.0
0.0074989420933245,0.0471172427801673,pore,paper,2.231321530013643e-07,1.2289825182644048e-05,0.043000223132153,1.2289825182644048e-05,0.0,0.0
0.01,0.0628318530717958,pore,paper,3.9662820542017993e-07,1.6383733250959136e-05,0.043000396628205415,1.6383733250959136e-05,0.0,0.0
0.0133352143216332,0.0837876226937767,pore,paper,7.048008370176152e-07,2.1836190776934458e-05,0.043000704800837015,2.1836190776934458e-05,0.0,0.0
0.0177827941003892,0.1117325906121654,pore,paper,1.2517092583414453e-06,2.909095368707817e-05,0.04300125170925834,2.909095368707817e-05,0.0,0.0
0.0237137370566165,0.1489978042524532,pore,paper,2.2207814707878778e-06,3.872712890865207e-05,0.043002220781470785,3.872712890865207e-05,0.0,0.0
0.0316227766016837,0.198691765315922,pore,paper,3.9331678099636096e-06,5.1487504044127146e-05,0.04300393316780996,5.1487504044127146e-05,0.0,0.0
0.0421696503428582,0.2649597274431474,pore,paper,6.944483351059636e-06,6.829492192434246e-05,0.04300694448335106,6.829492192434246e-05,0.0,0.0
0.0562341325190349,0.3533294752055899,pore,paper,1.219617791380955e-05,9.022823493585086e-05,0.043012196177913804,9.022823493585086e-05,0.0,0.0
0.0749894209332455,0.4711724278016739,pore,paper,2.122712472601635e-05,0.000118399482818,0.04302122712472601,0.000118399482818,0.0,0.0
0.1,0.6283185307179586,pore,paper,3.640340591020548e-05,0.0001536357725089,0.0430364034059102,0.0001536357725089,0.0,0.0
0.1333521432163324,0.8378762269377676,pore,paper,6.100725176010677e-05,0.0001958655808877,0.043061007251760104,0.0001958655808877,0.0,0.0
0.1778279410038923,1.1173259061216545,pore,paper,9.88590423604492e-05,0.0002432513075156,0.043098859042360445,0.0002432513075156,0.0,0.0
0.2371373705661655,1.489978042524532,pore,paper,0.0001531327076992,0.000291502447104,0.043153132707699195,0.000291502447104,0.0,0.0
0.3162277660168379,1.9869176531592203,pore,paper,0.0002245400858214,0.0003342189087683,0.0432245400858214,0.0003342189087683,0.0,0.0
0.4216965034285822,2.649597274431474,pore,paper,0.0003100275150887,0.0003647641995455,0.043310027515088695,0.0003647641995455,0.0,0.0
0.5623413251903491,3.533294752055899,pore,paper,0.0004032788063794,0.0003787433262008,0.0434032788063794,0.0003787433262008,0.0,0.0
