frame,time_s,time_h,mechanism,frequency_hz,sigma_real_s_m,sigma_imag_s_m,residual_norm,solve_height_px,solve_width_px,downsample,water_sigma_real_s_m,water_sigma_imag_s_m,solid_sigma_real_s_m,solid_sigma_imag_s_m,driver_mode,saturation_factor,interface_saturation_factor,interface_delta_real_s_m,interface_delta_imag_s_m,solution_sigma_w_s_m,interface_density_1_m,schwarz_sigma_s_s,schwarz_characteristic_length_m,schwarz_diffusion_coefficient_m2_s,schwarz_tau_s,paper_phi,paper_sw,paper_sigma_w_s_m,paper_cec_meq_g,paper_qv_c_m3
1,1.0,0.0002777777777777778,maxwell,1.0,0.01011095706174703,2.859376355151375e-09,2.2456949435468574e-15,53,144,8,0.019808629190565665,4.448495197483147e-09,1e-08,4.726526147325844e-10,si03,1.0,1.0,0.008786269366415201,0.02151351078464423,0.019808629190565665,878.0415590008613,7e-05,1.3e-05,1.3e-09,0.06499999999999999,,,,,
1,1.0,0.0002777777777777778,maxwell,2.5,0.01011095706179791,7.148440887914895e-09,2.4785807230657655e-15,53,144,8,0.019808629190565665,1.112123799370787e-08,1e-08,1.1816315368314611e-09,si03,1.0,1.0,0.031370570177233534,0.0307248080696487,0.019808629190565665,878.0415590008613,7e-05,1.3e-05,1.3e-09,0.06499999999999999,,,,,
1,1.0,0.0002777777777777778,maxwell,10.0,0.010110957061744837,2.8593763551683876e-08,2.319022393753243e-15,53,144,8,0.019808629190565665,4.448495197483148e-08,1e-08,4.7265261473258444e-09,si03,1.0,1.0,0.05798642777092366,0.014198194787667163,0.019808629190565665,878.0415590008613,7e-05,1.3e-05,1.3e-09,0.06499999999999999,,,,,
1,1.0,0.0002777777777777778,maxwell,100.0,0.010110957061991343,2.8593763550957844e-07,2.3497539822490796e-15,53,144,8,0.019808629190565665,4.4484951974831477e-07,1e-08,4.7265261473258444e-08,si03,1.0,1.0,0.06142608212800276,0.0015040407085292876,0.019808629190565665,878.0415590008613,7e-05,1.3e-05,1.3e-09,0.06499999999999999,,,,,
1,1.0,0.0002777777777777778,maxwell,1000.0,0.010110957086175697,2.8593763483856175e-06,2.3933466333302283e-15,53,144,8,0.019808629190565665,4.448495197483147e-06,1e-08,4.726526147325844e-07,si03,1.0,1.0,0.06146254064145865,0.00015049334089345628,0.019808629190565665,878.0415590008613,7e-05,1.3e-05,1.3e-09,0.06499999999999999,,,,,
1,1.0,0.0002777777777777778,maxwell,10000.0,0.010110959506041895,2.859375678809034e-05,2.3631238593020468e-15,53,144,8,0.019808629190565665,4.448495197483148e-05,1e-08,4.726526147325844e-06,si03,1.0,1.0,0.061462905445152406,1.5049423412901196e-05,0.019808629190565665,878.0415590008613,7e-05,1.3e-05,1.3e-09,0.06499999999999999,,,,,
1,1.0,0.0002777777777777778,interface,1.0,0.014595744070564055,0.01098116955649927,2.14988200446965e-15,53,144,8,0.028594898556980865,0.02151351078464423,1e-08,0.0,si03,1.0,1.0,0.008786269366415201,0.02151351078464423,0.019808629190565665,878.0415590008613,7e-05,1.3e-05,1.3e-09,0.06499999999999999,,,,,
1,1.0,0.0002777777777777778,interface,2.5,0.026123478386168165,0.01568290412390002,2.093040654783541e-15,53,144,8,0.0511791993677992,0.0307248080696487,1e-08,0.0,si03,1.0,1.0,0.031370570177233534,0.0307248080696487,0.019808629190565665,878.0415590008613,7e-05,1.3e-05,1.3e-09,0.06499999999999999,,,,,
1,1.0,0.0002777777777777778,interface,10.0,0.03970904552376955,0.00724720320736831,2.4917255787743985e-15,53,144,8,0.07779505696148932,0.014198194787667163,1e-08,0.0,si03,1.0,1.0,0.05798642777092366,0.014198194787667163,0.019808629190565665,878.0415590008613,7e-05,1.3e-05,1.3e-09,0.06499999999999999,,,,,
1,1.0,0.0002777777777777778,interface,100.0,0.04146475281323197,0.0007677094736214775,2.2417068638565557e-15,53,144,8,0.08123471131856842,0.0015040407085292876,1e-08,0.0,si03,1.0,1.0,0.06142608212800276,0.0015040407085292876,0.019808629190565665,878.0415590008613,7e-05,1.3e-05,1.3e-09,0.06499999999999999,,,,,
