frequency_hz,metric,full350_value,reference_table,reference_frequency_hz,reference_value,absolute_error,relative_error,relative_residual_norm,iterations,info
10.0,real_conductivity_vs_figure7_simulation,0.0043506158892128,figure7_simulation_real,10.0,0.00289194503166667,0.00145867085754613,0.5043909346732903,8.46130247998586e-06,1,0
10.0,real_conductivity_vs_figure7_experiment,0.0043506158892128,figure7_experiment_real,10.0,0.0026532730131495,0.0016973428760633002,0.6397166321186498,8.46130247998586e-06,1,0
10.0,imaginary_conductivity_vs_figure8_simulation,0.0005181825346209,figure8_simulation_all,10.0,2.08010988e-05,0.0004973814358209001,23.91130586913515,8.46130247998586e-06,1,0
10.0,imaginary_conductivity_vs_figure8_experiment,0.0005181825346209,figure8_experiment,10.0,3.10553253824406e-05,0.0004871272092384594,15.685786680370523,8.46130247998586e-06,1,0
10.0,real_relative_permittivity_vs_figure8_simulation,931438.4735501014,figure8_simulation_all,10.0,37426.8573896146,894011.6161604868,23.88690043766704,8.46130247998586e-06,1,0
10.0,real_relative_permittivity_vs_figure8_experiment,931438.4735501014,figure8_experiment,10.0,55877.01137579725,875561.4621743042,15.669439732303717,8.46130247998586e-06,1,0
100.0,real_conductivity_vs_figure6_experiment,0.0051228083090379,figure6_conductivity_experiment,130.0,0.00270040736983285,0.00242240093920505,0.8970501881554975,9.957947812323031e-06,1,0
100.0,imaginary_conductivity_vs_figure6_experiment,0.0004244870626822,figure6_conductivity_experiment,130.0,2.82256856687739e-05,0.0003962613770134261,14.039034575227712,9.957947812323031e-06,1,0
100.0,real_conductivity_vs_figure7_simulation,0.0051228083090379,figure7_simulation_real,100.0,0.00290374388,0.0022190644290379,0.7642080433891092,9.957947812323031e-06,1,0
100.0,real_conductivity_vs_figure7_experiment,0.0051228083090379,figure7_experiment_real,130.0,0.00270040736983285,0.00242240093920505,0.8970501881554975,9.957947812323031e-06,1,0
100.0,imaginary_conductivity_vs_figure8_simulation,0.0004244870626822,figure8_simulation_all,100.0,1.30359267e-05,0.0004114511359822,31.56286050474647,9.957947812323031e-06,1,0
100.0,imaginary_conductivity_vs_figure8_experiment,0.0004244870626822,figure8_experiment,130.0,2.82256856687739e-05,0.0003962613770134261,14.039034575227712,9.957947812323031e-06,1,0
100.0,real_relative_permittivity_vs_figure8_simulation,76301.98922002174,figure8_simulation_all,100.0,2345.51921623664,73956.4700037851,31.530958898920233,9.957947812323031e-06,1,0
100.0,real_relative_permittivity_vs_figure8_experiment,76301.98922002174,figure8_experiment,130.0,3906.593598016633,72395.3956220051,18.531591220228293,9.957947812323031e-06,1,0
1000.0,real_conductivity_vs_figure6_experiment,0.00557206778425656,figure6_conductivity_experiment,1000.0,0.00273526287806537,0.00283680490619119,1.0371233159854967,9.95826180813679e-06,70,0
1000.0,imaginary_conductivity_vs_figure6_experiment,0.00019566772959183674,figure6_conductivity_experiment,1000.0,3.1284565607207e-05,0.00016438316398462974,5.254449304124617,9.95826180813679e-06,70,0
