component,rows,all_info_zero,max_relative_residual_norm,max_iterations,elapsed_total_min,sigma_imag_1hz
interfacial,12,True,9.975234748581426e-06,391,1.7983925883328387,-1.6251297108285982e-08
pore,12,True,9.700539333851712e-06,168,0.3710245716676582,2.1761795622266766e-05
membrane,12,True,9.956778452157669e-06,164,0.36653871833307977,0.0004564125364431
all,12,True,9.957947812323031e-06,393,2.2210545183353436,0.0004781443604227
