figure_context,data_source,mechanism,frequency_hz,imaginary_conductivity_s_m,imaginary_conductivity_magnitude_s_m,real_relative_permittivity,real_relative_permittivity_magnitude,iterations,relative_residual_norm,info,rtol,preconditioner,dtype
paper_figure8_experiment,paper_experiment,experiment,10111102.998,0.0152484209525909,0.0152484209525909,27.134599999999995,27.134599999999995,,,,,,
paper_figure8_experiment,paper_experiment,experiment,11821923.7774,0.016863165663061,0.016863165663061,25.66539999999995,25.66539999999995,,,,,,
paper_figure8_experiment,paper_experiment,experiment,13532744.5567,0.0184706336126851,0.0184706336126851,24.55800000000004,24.55800000000004,,,,,,
paper_figure8_experiment,paper_experiment,experiment,15243565.3361,0.0200711780578512,0.0200711780578512,23.690999999999995,23.690999999999995,,,,,,
paper_figure8_experiment,paper_experiment,experiment,16954386.1155,0.0215885434702996,0.0215885434702996,22.910700000000027,22.910700000000027,,,,,,
paper_figure8_experiment,paper_experiment,experiment,18665206.8949,0.0232111589520195,0.0232111589520195,22.374900000000043,22.374900000000043,,,,,,
paper_figure8_experiment,paper_experiment,experiment,20376027.6743,0.0248586045693714,0.0248586045693714,21.951000000000025,21.951000000000025,,,,,,
paper_figure8_experiment,paper_experiment,experiment,22086848.4537,0.0264250697109724,0.0264250697109724,21.526799999999987,21.526799999999987,,,,,,
paper_figure8_experiment,paper_experiment,experiment,23797669.2331,0.0280250082873562,0.0280250082873562,21.188899999999965,21.188899999999965,,,,,,
paper_figure8_experiment,paper_experiment,experiment,25508490.0125,0.0295680611948411,0.0295680611948411,20.85620000000001,20.85620000000001,,,,,,
paper_figure8_experiment,paper_experiment,experiment,30703607.7037,0.0344829895392332,0.0344829895392332,20.207500000000003,20.207500000000003,,,,,,
paper_figure8_experiment,paper_experiment,experiment,35898725.3948,0.0394602583460536,0.0394602583460536,19.77779999999999,19.77779999999999,,,,,,
paper_figure8_experiment,paper_experiment,experiment,41093843.086,0.0444550080906045,0.0444550080906045,19.464399999999994,19.464399999999994,,,,,,
paper_figure8_experiment,paper_experiment,experiment,46288960.7772,0.049523471344948,0.049523471344948,19.249999999999996,19.249999999999996,,,,,,
paper_figure8_experiment,paper_experiment,experiment,51484078.4683,0.0546827290108225,0.0546827290108225,19.11060000000001,19.11060000000001,,,,,,
paper_figure8_experiment,paper_experiment,experiment,56679196.1595,0.059854416000356,0.059854416000356,19.000699999999984,19.000699999999984,,,,,,
paper_figure8_experiment,paper_experiment,experiment,61874313.8507,0.0650606464440437,0.0650606464440437,18.919299999999996,18.919299999999996,,,,,,
paper_figure8_experiment,paper_experiment,experiment,67069431.5418,0.0702030968196591,0.0702030968196591,18.833399999999997,18.833399999999997,,,,,,
paper_figure8_experiment,paper_experiment,experiment,72264549.233,0.0753995636842763,0.0753995636842763,18.773299999999995,18.773299999999995,,,,,,
paper_figure8_experiment,paper_experiment,experiment,77459666.9241,0.0805768228839403,0.0805768228839403,18.716800000000013,18.716800000000013,,,,,,
paper_figure8_experiment,paper_experiment,experiment,93235280.6822,0.0960322724394403,0.0960322724394403,18.5325,18.5325,,,,,,
paper_figure8_experiment,paper_experiment,experiment,109010894.4403,0.111467472344651,0.111467472344651,18.39820000000001,18.39820000000001,,,,,,
paper_figure8_experiment,paper_experiment,experiment,124786508.1984,0.127111728080982,0.127111728080982,18.32800000000006,18.32800000000006,,,,,,
paper_figure8_experiment,paper_experiment,experiment,140562121.9565,0.143081302394534,0.143081302394534,18.31519999999997,18.31519999999997,,,,,,
paper_figure8_experiment,paper_experiment,experiment,156337735.7145,0.15915007635667,0.15915007635667,18.316400000000037,18.316400000000037,,,,,,
paper_figure8_experiment,paper_experiment,experiment,172113349.4726,0.175172169433596,0.175172169433596,18.31250000000003,18.31250000000003,,,,,,
paper_figure8_experiment,paper_experiment,experiment,187888963.2307,0.190945157816519,0.190945157816519,18.285400000000017,18.285400000000017,,,,,,
paper_figure8_experiment,paper_experiment,experiment,203664576.9888,0.206113716805605,0.206113716805605,18.20909999999999,18.20909999999999,,,,,,
paper_figure8_experiment,paper_experiment,experiment,219440190.7469,0.221602172560588,0.221602172560588,18.169999999999998,18.169999999999998,,,,,,
paper_figure8_experiment,paper_experiment,experiment,235215804.5049,0.23771623130275,0.23771623130275,18.183999999999976,18.183999999999976,,,,,,
paper_figure8_experiment,paper_experiment,experiment,283120395.7459,0.286572226167527,0.286572226167527,18.21209999999999,18.21209999999999,,,,,,
paper_figure8_experiment,paper_experiment,experiment,331024986.9869,0.333743598876752,0.333743598876752,18.14049999999999,18.14049999999999,,,,,,
paper_figure8_experiment,paper_experiment,experiment,378929578.2279,0.38302933753121,0.38302933753121,18.187400000000004,18.187400000000004,,,,,,
paper_figure8_experiment,paper_experiment,experiment,426834169.4689,0.430313539445587,0.430313539445587,18.1394,18.1394,,,,,,
paper_figure8_experiment,paper_experiment,experiment,474738760.71,0.47940809490334,0.47940809490334,18.169700000000006,18.169700000000006,,,,,,
paper_figure8_experiment,paper_experiment,experiment,522643351.951,0.527211620697398,0.527211620697398,18.149999999999995,18.149999999999995,,,,,,
paper_figure8_experiment,paper_experiment,experiment,570547943.192,0.575652258279329,0.575652258279329,18.153699999999994,18.153699999999994,,,,,,
paper_figure8_experiment,paper_experiment,experiment,618452534.433,0.624301645879686,0.624301645879686,18.162899999999997,18.162899999999997,,,,,,
paper_figure8_experiment,paper_experiment,experiment,666357125.674,0.672129704687516,0.672129704687516,18.148600000000005,18.148600000000005,,,,,,
paper_figure8_experiment,paper_experiment,experiment,714261716.915,0.721274990715471,0.721274990715471,18.16939999999999,18.16939999999999,,,,,,
paper_figure8_experiment,paper_experiment,experiment,859729899.463,0.867660244589902,0.867660244589902,18.158700000000003,18.158700000000003,,,,,,
our_component_gpu_fft,our_interfacial_component,interfacial,0.001,-1.7200610380478575e-08,1.7200610380478575e-08,-309182.75330611266,309182.75330611266,161.0,9.975234748581426e-06,0.0,1e-05,fft,complex64
our_component_gpu_fft,our_interfacial_component,interfacial,0.01,-1.7119418775374966e-08,1.7119418775374966e-08,-30772.332579418166,30772.332579418166,2.0,9.951992613488735e-06,0.0,1e-05,fft,complex64
our_component_gpu_fft,our_interfacial_component,interfacial,0.1,-1.7016114715932065e-08,1.7016114715932065e-08,-3058.6642462499385,3058.6642462499385,1.0,9.934036355779812e-06,0.0,1e-05,fft,complex64
our_component_gpu_fft,our_interfacial_component,interfacial,1.0,-1.6251297108285982e-08,1.6251297108285982e-08,-292.11874890428896,292.11874890428896,1.0,9.923310206216493e-06,0.0,1e-05,fft,complex64
our_component_gpu_fft,our_interfacial_component,interfacial,10.0,1.329379735118099e-07,1.329379735118099e-07,238.95738441912707,238.95738441912707,6.0,9.319830270019567e-06,0.0,1e-05,fft,complex64
our_component_gpu_fft,our_interfacial_component,interfacial,100.0,1.9531846115957546e-07,1.9531846115957546e-07,35.108695713128725,35.108695713128725,1.0,9.24651561532075e-06,0.0,1e-05,fft,complex64
our_component_gpu_fft,our_interfacial_component,interfacial,1000.0,1.8105299702191145e-06,1.8105299702191145e-06,32.54446375757074,32.54446375757074,159.0,9.913859243299912e-06,0.0,1e-05,fft,complex64
our_component_gpu_fft,our_interfacial_component,interfacial,10000.0,1.7983721585732508e-05,1.7983721585732508e-05,32.325925833875225,32.325925833875225,391.0,8.787509460486102e-06,0.0,1e-05,fft,complex64
our_component_gpu_fft,our_interfacial_component,interfacial,100000.0,0.0001660497904518,0.0001660497904518,29.847621835593344,29.847621835593344,189.0,9.735382583736234e-06,0.0,1e-05,fft,complex64
our_component_gpu_fft,our_interfacial_component,interfacial,1000000.0,0.0012501055940233,0.0012501055940233,22.470777544159652,22.470777544159652,53.0,9.09695677838006e-06,0.0,1e-05,fft,complex64
our_component_gpu_fft,our_interfacial_component,interfacial,100000000.0,0.087311527696793,0.087311527696793,15.694337544727459,15.694337544727459,13.0,7.639170998216227e-06,0.0,1e-05,fft,complex64
our_component_gpu_fft,our_interfacial_component,interfacial,1000000000.0,0.8726545539358601,0.8726545539358601,15.686056000502225,15.686056000502225,10.0,8.806017785364192e-06,0.0,1e-05,fft,complex64
our_component_gpu_fft,our_pore_component,pore,0.001,1.0434729573330449e-07,1.0434729573330449e-07,1875653.4495709345,1875653.4495709345,168.0,9.056230910054618e-06,0.0,1e-05,fft,complex64
our_component_gpu_fft,our_pore_component,pore,0.01,1.0027141960299746e-06,1.0027141960299746e-06,1802389.1539309835,1802389.1539309835,1.0,9.700539333851712e-06,0.0,1e-05,fft,complex64
our_component_gpu_fft,our_pore_component,pore,0.1,9.365537593385568e-06,9.365537593385568e-06,1683465.083658437,1683465.083658437,1.0,9.059677110711095e-06,0.0,1e-05,fft,complex64
our_component_gpu_fft,our_pore_component,pore,1.0,2.1761795622266766e-05,2.1761795622266766e-05,391170.53049545,391170.53049545,1.0,9.026474679209587e-06,0.0,1e-05,fft,complex64
our_component_gpu_fft,our_pore_component,pore,10.0,6.614465652332362e-06,6.614465652332362e-06,11889.570525693936,11889.570525693936,1.0,9.010525367016142e-06,0.0,1e-05,fft,complex64
our_component_gpu_fft,our_pore_component,pore,100.0,8.549317118030248e-07,8.549317118030248e-07,153.67486077352373,153.67486077352373,1.0,8.997258829450379e-06,0.0,1e-05,fft,complex64
our_component_gpu_fft,our_pore_component,pore,1000.0,9.012847322069174e-08,9.012847322069174e-08,1.6200686420567822,1.6200686420567822,1.0,8.983830515482889e-06,0.0,1e-05,fft,complex64
our_component_gpu_fft,our_pore_component,pore,10000.0,1.306532423280766e-08,1.306532423280766e-08,0.02348505564500876,0.02348505564500876,1.0,8.97147784528172e-06,0.0,1e-05,fft,complex64
our_component_gpu_fft,our_pore_component,pore,100000.0,5.351943107805169e-09,5.351943107805169e-09,0.0009620173174126836,0.0009620173174126836,1.0,8.958641746766415e-06,0.0,1e-05,fft,complex64
our_component_gpu_fft,our_pore_component,pore,1000000.0,4.574166094944012e-09,4.574166094944012e-09,8.222110936942867e-05,8.222110936942867e-05,1.0,8.945605695953977e-06,0.0,1e-05,fft,complex64
our_component_gpu_fft,our_pore_component,pore,100000000.0,4.4822734576967646e-09,4.4822734576967646e-09,8.056932969625447e-07,8.056932969625447e-07,1.0,8.93241863221783e-06,0.0,1e-05,fft,complex64
our_component_gpu_fft,our_pore_component,pore,1000000000.0,4.474414680859091e-09,4.474414680859091e-09,8.042806736854964e-08,8.042806736854964e-08,1.0,8.919447600858657e-06,0.0,1e-05,fft,complex64
our_component_gpu_fft,our_membrane_component,membrane,0.001,3.7101972485422746e-05,3.7101972485422746e-05,666911798.6155717,666911798.6155717,164.0,9.87185580461507e-06,0.0,1e-05,fft,complex64
our_component_gpu_fft,our_membrane_component,membrane,0.01,0.000108850457817,0.000108850457817,195659825.44832548,195659825.44832548,2.0,9.956778452157669e-06,0.0,1e-05,fft,complex64
our_component_gpu_fft,our_membrane_component,membrane,0.1,0.0002727050154883,0.0002727050154883,49019009.014209636,49019009.014209636,1.0,9.822386903041698e-06,0.0,1e-05,fft,complex64
our_component_gpu_fft,our_membrane_component,membrane,1.0,0.0004564125364431,0.0004564125364431,8204062.619839301,8204062.619839301,1.0,9.805655272457492e-06,0.0,1e-05,fft,complex64
our_component_gpu_fft,our_membrane_component,membrane,10.0,0.0005115962099125,0.0005115962099125,919599.4866626225,919599.4866626225,1.0,9.789794012012128e-06,0.0,1e-05,fft,complex64
our_component_gpu_fft,our_membrane_component,membrane,100.0,0.0004235927022594,0.0004235927022594,76141.22700760447,76141.22700760447,1.0,9.774500160561085e-06,0.0,1e-05,fft,complex64
our_component_gpu_fft,our_membrane_component,membrane,1000.0,0.0001937794733965,0.0001937794733965,3483.2061068562793,3483.2061068562793,1.0,9.759319927698738e-06,0.0,1e-05,fft,complex64
our_component_gpu_fft,our_membrane_component,membrane,10000.0,6.078865820881925e-05,6.078865820881925e-05,109.26824280676504,109.26824280676504,1.0,9.74407905789308e-06,0.0,1e-05,fft,complex64
our_component_gpu_fft,our_membrane_component,membrane,100000.0,1.9250099649234692e-05,1.9250099649234692e-05,3.4602253520737083,3.4602253520737083,1.0,9.729032515193567e-06,0.0,1e-05,fft,complex64
our_component_gpu_fft,our_membrane_component,membrane,1000000.0,6.104281500546648e-06,6.104281500546648e-06,0.10972509228140949,0.10972509228140949,1.0,9.71394527799115e-06,0.0,1e-05,fft,complex64
our_component_gpu_fft,our_membrane_component,membrane,100000000.0,6.313174500757334e-07,6.313174500757334e-07,0.00011347996559827822,0.00011347996559827822,1.0,9.698499790385218e-06,0.0,1e-05,fft,complex64
our_component_gpu_fft,our_membrane_component,membrane,1000000000.0,2.1544584936025194e-07,2.1544584936025194e-07,3.872661459105925e-06,3.872661459105925e-06,1.0,9.683910197530688e-06,0.0,1e-05,fft,complex64
our_all_polarization_gpu_fft,our_all_polarization_component,all_polarization,0.001,3.718191679573615e-05,3.718191679573615e-05,668348805.8744484,668348805.8744484,172.0,8.529268908953394e-06,0.0,1e-05,fft,complex64
our_all_polarization_gpu_fft,our_all_polarization_component,all_polarization,0.01,0.0001098282958272,0.0001098282958272,197417499.4005483,197417499.4005483,1.0,9.113579240346638e-06,0.0,1e-05,fft,complex64
our_all_polarization_gpu_fft,our_all_polarization_component,all_polarization,0.1,0.0002820441417638,0.0002820441417638,50697726.636120096,50697726.636120096,1.0,8.457702965710499e-06,0.0,1e-05,fft,complex64
our_all_polarization_gpu_fft,our_all_polarization_component,all_polarization,1.0,0.0004781443604227,0.0004781443604227,8594694.406953217,8594694.406953217,1.0,8.426773843546294e-06,0.0,1e-05,fft,complex64
our_all_polarization_gpu_fft,our_all_polarization_component,all_polarization,10.0,0.0005181825346209,0.0005181825346209,931438.4735501014,931438.4735501014,1.0,8.46130247998586e-06,0.0,1e-05,fft,complex64
our_all_polarization_gpu_fft,our_all_polarization_component,all_polarization,100.0,0.0004244870626822,0.0004244870626822,76301.98922002174,76301.98922002174,1.0,9.957947812323031e-06,0.0,1e-05,fft,complex64
our_all_polarization_gpu_fft,our_all_polarization_component,all_polarization,1000.0,0.0001956652924562,0.0001956652924562,3517.1038997960536,3517.1038997960536,321.0,9.909598085607555e-06,0.0,1e-05,fft,complex64
our_all_polarization_gpu_fft,our_all_polarization_component,all_polarization,10000.0,7.88294631468659e-05,7.88294631468659e-05,141.6967765577201,141.6967765577201,393.0,7.306213504523205e-06,0.0,1e-05,fft,complex64
our_all_polarization_gpu_fft,our_all_polarization_component,all_polarization,100000.0,0.000192571018586,0.000192571018586,34.61484006460328,34.61484006460328,215.0,8.324111443492194e-06,0.0,1e-05,fft,complex64
our_all_polarization_gpu_fft,our_all_polarization_component,all_polarization,1000000.0,0.0014196506924198,0.0014196506924198,25.518368250084777,25.518368250084777,84.0,6.64162397408639e-06,0.0,1e-05,fft,complex64
our_all_polarization_gpu_fft,our_all_polarization_component,all_polarization,100000000.0,0.0874888862973761,0.0874888862973761,15.72621793689833,15.72621793689833,14.0,8.292478580298798e-06,0.0,1e-05,fft,complex64
our_all_polarization_gpu_fft,our_all_polarization_component,all_polarization,1000000000.0,0.8726728396501459,0.8726728396501459,15.686384688110628,15.686384688110628,11.0,2.486450507331965e-06,0.0,1e-05,fft,complex64
