iteration,elapsed_s,relative_residual_norm
10,1.6233843000081833,0.026678077303138037
20,2.747153000003891,0.004864773598138504
30,3.871435199995176,0.0011481455559938865
40,4.9898695000010775,0.00046435808487518853
50,6.110270999997738,0.0003381396402526785
60,7.2360531000013,0.00024236394365406247
70,8.359576700007892,0.00018219989713511172
80,9.47573220000777,0.0002602436557669748
90,10.594411600002786,0.00011576504512816215
100,11.716568200004986,5.8819830380925276e-05
110,12.837023800006136,5.1334537149837454e-05
120,13.954872999995132,3.23789996384956e-05
130,15.078757399998722,2.5414024188973555e-05
140,16.20201310000266,2.233472127232057e-05
150,17.318085200007772,1.2809082470072376e-05
159,18.26621499999601,8.376333218379739e-06
