iteration,elapsed_s,relative_residual_norm
20,2.6788655999989714,0.010664057185109663
40,4.917942699990817,0.003800093543144334
60,7.1484829999972135,0.019189227909459743
80,9.380330099986168,0.002896757255336319
100,11.613612499990268,0.0009342870463878418
120,13.84514799999306,0.00042206234971652344
140,16.075804499996593,0.0002390131869500126
160,18.310690499987686,0.00021178847538491438
180,20.543662099997164,0.00015165075771588046
200,22.773209799997858,0.00013597730810894302
220,25.004845699993894,0.00011487862249629786
240,27.236797099991236,8.640898369521109e-05
260,29.4758293999912,5.779061379024828e-05
280,31.711040799986222,4.3344928927453226e-05
300,33.94372549999389,3.69292810069131e-05
320,36.17520019999938,4.6105981197759225e-05
340,38.41128349999781,3.138521645075225e-05
360,40.643249499989906,3.215395076954267e-05
380,42.875697199997376,1.894491092234729e-05
400,45.10971609999251,1.2342273679251296e-05
418,47.06451969999762,9.354819734068699e-06
