iteration,elapsed_s,relative_residual_norm
20,2.377995600007125,0.00036450767756490606
40,4.618072600002051,0.0002020848344960742
60,6.854058099997928,0.00017609687155630024
80,9.111350200008019,0.00018647933188421288
100,11.352065200000652,0.00018988037486566858
120,13.593490300001577,0.00015321124082747295
140,15.85751529999834,0.0001092426102113925
160,18.083424299999024,4.6275497199295204e-05
180,20.28975910000736,3.867704066295617e-05
200,22.50861679999798,3.693237093743347e-05
220,24.735298200001125,3.173826855452995e-05
240,26.95929949999845,3.0478182822380795e-05
260,29.18801360001089,2.3673324315700247e-05
