iteration,elapsed_s,relative_residual_norm
20,2.3704983000061475,0.0006304402906086179
40,4.602008100002422,0.00029568617614483535
60,6.824201399998856,0.00017043997621278293
80,9.046621200002846,9.72560031421197e-05
100,11.2682066999987,5.8299934318907085e-05
120,13.49100300000282,3.8079183122034246e-05
140,15.71740839999984,2.7368039581579292e-05
160,17.940746899999795,2.4962147508465792e-05
180,20.16343919999781,1.687874311051489e-05
200,22.386635300004855,1.512889878110309e-05
205,22.944928099997924,9.254215753889592e-06
