frequency_hz,omega_rad_s,component,component_mode,delta_sigma_component_real_s_m,delta_sigma_component_imag_s_m,apparent_water_sigma_real_s_m,apparent_water_sigma_imag_s_m,solid_sigma_real_s_m,solid_sigma_imag_s_m
0.001,0.0062831853071795,pore,paper,3.9699744151655395e-09,1.6395077914670274e-06,0.04300000396997441,1.6395077914670274e-06,0.0,0.0
0.0013335214321633,0.0083787622693776,pore,paper,7.059672072836947e-09,2.186306871534529e-06,0.04300000705967207,2.186306871534529e-06,0.0,0.0
0.0017782794100389,0.0111732590612165,pore,paper,1.255390604169606e-08,2.915458836222938e-06,0.043000012553906036,2.915458836222938e-06,0.0,0.0
0.0023713737056616,0.0148997804252453,pore,paper,2.2323835791841083e-08,3.887759891716729e-06,0.04300002232383579,3.887759891716729e-06,0.0,0.0
0.0031622776601683,0.0198691765315922,pore,paper,3.9696383311031597e-08,5.184252385538413e-06,0.04300003969638331,5.184252385538413e-06,0.0,0.0
0.0042169650342858,0.0264959727443147,pore,paper,7.058609406695666e-08,6.912935255946813e-06,0.043000070586094064,6.912935255946813e-06,0.0,0.0
0.0056234132519034,0.0353329475205589,pore,paper,1.2550546298848466e-07,9.217654938570196e-06,0.043000125505462984,9.217654938570196e-06,0.0,0.0
0.0074989420933245,0.0471172427801673,pore,paper,2.231321530013644e-07,1.2289825182644056e-05,0.043000223132153,1.2289825182644056e-05,0.0,0.0
0.01,0.0628318530717958,pore,paper,3.966282054201802e-07,1.638373325095914e-05,0.043000396628205415,1.638373325095914e-05,0.0,0.0
0.0133352143216332,0.0837876226937767,pore,paper,7.04800837017615e-07,2.183619077693446e-05,0.043000704800837015,2.183619077693446e-05,0.0,0.0
0.0177827941003892,0.1117325906121654,pore,paper,1.2517092583414453e-06,2.9090953687078203e-05,0.04300125170925834,2.9090953687078203e-05,0.0,0.0
0.0237137370566165,0.1489978042524532,pore,paper,2.2207814707878778e-06,3.872712890865208e-05,0.043002220781470785,3.872712890865208e-05,0.0,0.0
0.0316227766016837,0.198691765315922,pore,paper,3.933167809963607e-06,5.148750404412708e-05,0.04300393316780996,5.148750404412708e-05,0.0,0.0
0.0421696503428582,0.2649597274431474,pore,paper,6.944483351059636e-06,6.829492192434242e-05,0.04300694448335106,6.829492192434242e-05,0.0,0.0
0.0562341325190349,0.3533294752055899,pore,paper,1.2196177913809556e-05,9.022823493585083e-05,0.043012196177913804,9.022823493585083e-05,0.0,0.0
0.0749894209332455,0.4711724278016739,pore,paper,2.1227124726016345e-05,0.000118399482818,0.04302122712472601,0.000118399482818,0.0,0.0
0.1,0.6283185307179586,pore,paper,3.640340591020548e-05,0.0001536357725089,0.0430364034059102,0.0001536357725089,0.0,0.0
0.1333521432163324,0.8378762269377676,pore,paper,6.100725176010683e-05,0.0001958655808877,0.043061007251760104,0.0001958655808877,0.0,0.0
0.1778279410038923,1.1173259061216545,pore,paper,9.885904236044914e-05,0.0002432513075156,0.043098859042360445,0.0002432513075156,0.0,0.0
0.2371373705661655,1.489978042524532,pore,paper,0.0001531327076992,0.000291502447104,0.043153132707699195,0.000291502447104,0.0,0.0
0.3162277660168379,1.9869176531592203,pore,paper,0.0002245400858214,0.0003342189087683,0.0432245400858214,0.0003342189087683,0.0,0.0
0.4216965034285822,2.649597274431474,pore,paper,0.0003100275150887,0.0003647641995455,0.043310027515088695,0.0003647641995455,0.0,0.0
0.5623413251903491,3.533294752055899,pore,paper,0.0004032788063794,0.0003787433262008,0.0434032788063794,0.0003787433262008,0.0,0.0
0.7498942093324559,4.71172427801674,pore,paper,0.0004967981307377,0.0003753596611656,0.043496798130737695,0.0003753596611656,0.0,0.0
1.0,6.283185307179586,pore,paper,0.0005840891634727,0.0003570843257656,0.04358408916347269,0.0003570843257656,0.0,0.0
1.333521432163324,8.378762269377676,pore,paper,0.0006609618475375,0.0003283295875683,0.0436609618475375,0.0003283295875683,0.0,0.0
1.7782794100389228,11.173259061216545,pore,paper,0.0007258113278296,0.0002938924524457,0.04372581132782959,0.0002938924524457,0.0,0.0
2.371373705661655,14.89978042524532,pore,paper,0.0007790508830193,0.0002577453660279,0.043779050883019296,0.0002577453660279,0.0,0.0
3.1622776601683795,19.869176531592203,pore,paper,0.0008221597901334,0.0002225156118689,0.043822159790133396,0.0002225156118689,0.0,0.0
4.216965034285822,26.495972744314734,pore,paper,0.0008568474317035,0.0001895885563073,0.0438568474317035,0.0001895885563073,0.0,0.0
5.623413251903491,35.332947520559,pore,paper,0.0008845864520063,0.0001595245336906,0.0438845864520063,0.0001595245336906,0.0,0.0
